,P@10,Judged@50,nDCG@3,nDCG@10,Judged@10,Judged@20,AP,P@3,R@50,R@20,nDCG@5,P@5,R@10
tct-colbertv2+t5,0.8169999999999998,0.39920000000000017,0.7870391808903412,0.7365494759927409,0.998,0.7100000000000002,0.3016997783007602,0.8733333333333334,0.37377521272513176,0.28209828682590715,0.7650279910148402,0.8559999999999997,0.1979227241265803
tct-colbertv2,0.7469999999999999,0.40900000000000014,0.7075979522258536,0.6571261147822615,0.9710000000000001,0.6764999999999997,0.2781169298921712,0.7900000000000001,0.3859124033640596,0.25422050592931944,0.6915253795557466,0.7879999999999998,0.18105484787028392
ance+t5,0.8160000000000001,0.3628,0.7999443458559667,0.7347273976174784,0.9990000000000001,0.6845,0.27334780588738267,0.8799999999999999,0.3342009453837662,0.26685309767279536,0.7741906755114478,0.8539999999999998,0.19869074450107171
ance,0.7149999999999997,0.36800000000000005,0.6848886917119343,0.6225966510940435,0.9719999999999999,0.6625,0.24385213656059054,0.7833333333333334,0.3331789730705579,0.24146822010375388,0.6575879968363649,0.7499999999999997,0.17158510728095525
bm25+best_k1=0.6+best_b=0.4,0.5130000000000001,0.3868000000000002,0.46913401592471565,0.42524993796436816,0.9070000000000006,0.6484999999999999,0.1708863067725045,0.5900000000000002,0.29519590867189555,0.1958457297399415,0.44946074746707054,0.5560000000000002,0.1281096136289001
bm25+rm3+best_k1=0.6+best_b=0.4+best_fb_terms=79.0+best_fb_docs=16.0+best_original_query_weight=0.68,0.5040000000000001,0.3888000000000001,0.48148040955482957,0.4297702235606395,0.8700000000000001,0.6554999999999996,0.17821704614505687,0.5866666666666667,0.29865674055446106,0.19500263675776938,0.4708456824409399,0.5699999999999998,0.12546607328780554
bm25+rm3+t5,0.6539999999999999,0.37660000000000005,0.6487154948968776,0.5664266362812819,0.8959999999999999,0.645,0.2144465249170888,0.7566666666666667,0.2854694574890506,0.2236259446104517,0.6156832095978142,0.7199999999999995,0.16632824957304734
bm25+rm3,0.531,0.37660000000000005,0.44921861208835673,0.4401673469273505,0.9110000000000004,0.6465,0.1695257237329981,0.5266666666666665,0.2854694574890506,0.18846703085702757,0.4522535273444274,0.5519999999999998,0.12851418445750182
bm25+t5,0.6869999999999998,0.3936,0.6658103299312517,0.5943615449279048,0.9370000000000002,0.671,0.22307218827439623,0.78,0.2959462504947416,0.2383441491600432,0.6324984935030792,0.7319999999999998,0.17392187900384715
bm25,0.5349999999999999,0.3936,0.45388245732897614,0.4347847879150646,0.9450000000000002,0.6535,0.16893161038014248,0.5700000000000003,0.2959462504947416,0.19553769019565195,0.4433120479452921,0.5479999999999999,0.13260766111724975
marqo+t5,0.7770000000000001,0.40900000000000036,0.7067319681505688,0.6721334638769224,1.0,0.6835,0.24935300888184575,0.8066666666666668,0.32435577616080624,0.24982056558533042,0.6945860094992455,0.8099999999999998,0.18436656503645868
marqo,0.6429999999999998,0.40900000000000036,0.5616763140065362,0.5512646685056191,0.998,0.6700000000000002,0.2042543070260574,0.6699999999999998,0.32435577616080624,0.20698465334444158,0.5552995701836028,0.6619999999999997,0.1523610156194171
