metric_val,query_id,model
0.7272727272727273,query-0,bm25+t5
0.7272727272727273,query-0,bm25
0.7272727272727273,query-0,bm25+rm3+t5
0.7272727272727273,query-0,bm25+rm3
0.6923076923076923,query-1,marqo
0.6923076923076923,query-1,marqo+t5
0.6451612903225806,query-10,bm25+rm3+t5
0.6451612903225806,query-10,bm25+rm3
0.6875,query-11,ance
0.6875,query-11,ance+t5
0.7272727272727273,query-12,bm25+t5
0.7272727272727273,query-12,bm25+rm3
0.7272727272727273,query-12,bm25
0.7272727272727273,query-12,bm25+rm3+t5
0.9333333333333333,query-13,bm25+rm3
0.9333333333333333,query-13,bm25+rm3+t5
0.9333333333333333,query-13,bm25
0.9333333333333333,query-13,bm25+t5
1.0,query-14,bm25
1.0,query-14,bm25+t5
1.0,query-14,bm25+rm3
1.0,query-14,bm25+rm3+t5
1.0,query-15,bm25+rm3+t5
1.0,query-15,bm25+rm3
1.0,query-15,bm25
1.0,query-15,bm25+t5
1.0,query-16,TCT-ColBERTv2
1.0,query-16,bm25+rm3
1.0,query-16,marqo+t5
1.0,query-16,bm25+rm3+t5
1.0,query-16,TCT-ColBERTv2+t5
1.0,query-16,bm25+t5
1.0,query-16,bm25
1.0,query-16,marqo
1.0,query-17,bm25+rm3
1.0,query-17,bm25+t5
1.0,query-17,bm25
1.0,query-17,bm25+rm3+t5
0.6285714285714286,query-18,bm25+rm3
0.6285714285714286,query-18,bm25+rm3+t5
0.8666666666666667,query-19,marqo+t5
0.8666666666666667,query-19,marqo
0.7368421052631579,query-2,bm25+rm3
0.7368421052631579,query-2,bm25+rm3+t5
0.7368421052631579,query-2,bm25+t5
0.7368421052631579,query-2,bm25
1.0,query-20,bm25+rm3+t5
1.0,query-20,ance+t5
1.0,query-20,ance
1.0,query-20,marqo
1.0,query-20,TCT-ColBERTv2+t5
1.0,query-20,TCT-ColBERTv2
1.0,query-20,bm25+t5
1.0,query-20,bm25
1.0,query-20,bm25+rm3
1.0,query-20,marqo+t5
1.0,query-21,bm25
1.0,query-21,bm25+rm3
1.0,query-21,bm25+rm3+t5
1.0,query-21,bm25+t5
1.0,query-21,TCT-ColBERTv2
1.0,query-21,TCT-ColBERTv2+t5
1.0,query-21,marqo
1.0,query-21,marqo+t5
1.0,query-22,marqo+t5
1.0,query-22,TCT-ColBERTv2+t5
1.0,query-22,TCT-ColBERTv2
1.0,query-22,marqo
1.0,query-22,bm25+rm3+t5
1.0,query-22,bm25+rm3
1.0,query-22,bm25
1.0,query-22,bm25+t5
1.0,query-23,marqo
1.0,query-23,TCT-ColBERTv2+t5
1.0,query-23,bm25+rm3+t5
1.0,query-23,TCT-ColBERTv2
1.0,query-23,marqo+t5
1.0,query-23,bm25+t5
1.0,query-23,bm25
1.0,query-23,bm25+rm3
1.0,query-24,bm25
1.0,query-24,marqo+t5
1.0,query-24,bm25+t5
1.0,query-24,bm25+rm3
1.0,query-24,marqo
1.0,query-24,bm25+rm3+t5
0.8888888888888888,query-25,marqo
0.8888888888888888,query-25,TCT-ColBERTv2
0.8888888888888888,query-25,TCT-ColBERTv2+t5
0.8888888888888888,query-25,marqo+t5
1.0,query-26,bm25+t5
1.0,query-26,bm25+rm3
1.0,query-26,bm25
1.0,query-26,bm25+rm3+t5
0.7222222222222222,query-27,bm25+rm3
0.7222222222222222,query-27,bm25+rm3+t5
1.0,query-28,bm25+rm3+t5
1.0,query-28,bm25+rm3
1.0,query-28,bm25+t5
1.0,query-28,bm25
1.0,query-28,marqo
1.0,query-28,marqo+t5
1.0,query-28,TCT-ColBERTv2
1.0,query-28,TCT-ColBERTv2+t5
1.0,query-29,bm25
1.0,query-29,bm25+t5
0.8666666666666667,query-3,bm25+rm3
0.8666666666666667,query-3,bm25
0.8666666666666667,query-3,bm25+rm3+t5
0.8666666666666667,query-3,bm25+t5
0.7333333333333333,query-30,marqo+t5
0.7333333333333333,query-30,bm25+rm3+t5
0.7333333333333333,query-30,bm25+t5
0.7333333333333333,query-30,bm25+rm3
0.7333333333333333,query-30,marqo
0.7333333333333333,query-30,bm25
0.782608695652174,query-31,bm25
0.782608695652174,query-31,bm25+t5
0.7058823529411765,query-32,bm25+rm3
0.7058823529411765,query-32,bm25+rm3+t5
0.8125,query-33,bm25
0.8125,query-33,bm25+t5
0.8333333333333334,query-34,marqo
0.8333333333333334,query-34,bm25+rm3+t5
0.8333333333333334,query-34,marqo+t5
0.8333333333333334,query-34,bm25+rm3
0.8333333333333334,query-34,ance
0.8333333333333334,query-34,ance+t5
0.8181818181818182,query-35,bm25+rm3+t5
0.8181818181818182,query-35,bm25+rm3
0.9090909090909091,query-36,bm25
0.9090909090909091,query-36,bm25+rm3
0.9090909090909091,query-36,bm25+rm3+t5
0.9090909090909091,query-36,bm25+t5
0.5625,query-37,bm25+t5
0.5625,query-37,bm25+rm3+t5
0.5625,query-37,ance+t5
0.5625,query-37,bm25+rm3
0.5625,query-37,TCT-ColBERTv2
0.5625,query-37,ance
0.5625,query-37,bm25
0.5625,query-37,marqo
0.5625,query-37,TCT-ColBERTv2+t5
0.5625,query-37,marqo+t5
0.7368421052631579,query-38,bm25+rm3
0.7368421052631579,query-38,bm25+rm3+t5
0.8571428571428571,query-39,ance
0.8571428571428571,query-39,ance+t5
0.5217391304347826,query-4,bm25
0.5217391304347826,query-4,bm25+rm3+t5
0.5217391304347826,query-4,bm25+t5
0.5217391304347826,query-4,bm25+rm3
0.9333333333333333,query-40,marqo+t5
0.9333333333333333,query-40,bm25+rm3
0.9333333333333333,query-40,bm25+rm3+t5
0.9333333333333333,query-40,bm25+t5
0.9333333333333333,query-40,marqo
0.9333333333333333,query-40,bm25
1.0,query-41,marqo+t5
1.0,query-41,bm25
1.0,query-41,bm25+t5
1.0,query-41,bm25+rm3+t5
1.0,query-41,bm25+rm3
1.0,query-41,marqo
1.0,query-42,bm25+rm3+t5
1.0,query-42,TCT-ColBERTv2+t5
1.0,query-42,TCT-ColBERTv2
1.0,query-42,marqo
1.0,query-42,bm25+rm3
1.0,query-42,marqo+t5
1.0,query-42,bm25+t5
1.0,query-42,bm25
1.0,query-43,bm25+rm3+t5
1.0,query-43,bm25
1.0,query-43,bm25+rm3
1.0,query-43,bm25+t5
0.875,query-44,TCT-ColBERTv2
0.875,query-44,TCT-ColBERTv2+t5
0.75,query-45,bm25
0.75,query-45,bm25+t5
1.0,query-46,marqo
1.0,query-46,marqo+t5
1.0,query-47,bm25+t5
1.0,query-47,bm25+rm3+t5
1.0,query-47,bm25
1.0,query-47,bm25+rm3
0.9444444444444444,query-48,bm25+t5
0.9444444444444444,query-48,bm25
0.75,query-49,marqo+t5
0.75,query-49,marqo
0.7058823529411765,query-5,bm25+rm3
0.7058823529411765,query-5,marqo+t5
0.7058823529411765,query-5,TCT-ColBERTv2
0.7058823529411765,query-5,TCT-ColBERTv2+t5
0.7058823529411765,query-5,marqo
0.7058823529411765,query-5,bm25+rm3+t5
0.9444444444444444,query-50,bm25+rm3
